Elon_Musk_chunk_39_1497344768936258_count_0_noise_-1_noise_type_White,2,7.42,8.8,present right,-1,False,0.3939,0.9472,lecture,White,present,right,"[{'confidence': 0.377, 'timestamps': [['but', 0.28, 0.39], [""isn't"", 0.39, 0.75], ['right', 1.42, 1.65]], 'word_confidence': [['but', 0.309], [""isn't"", 0.187], ['right', 0.708]], 'transcript': ""but isn't right ""}]",but,0.3846,isn't,0.4781,right,0.9066
Elon_Musk_chunk_39_1497344768936258_count_0_noise_0_noise_type_White,2,7.42,8.8,present right,0,False,0.3939,0.9472,lecture,White,present,right,"[{'confidence': 0.426, 'timestamps': [['but', 0.28, 0.39], [""isn't"", 0.39, 0.75], ['right', 1.42, 1.65]], 'word_confidence': [['but', 0.357], [""isn't"", 0.167], ['right', 0.866]], 'transcript': ""but isn't right ""}]",but,0.5218,isn't,0.4163,right,0.8598
Elon_Musk_chunk_39_1497344768936258_count_0_noise_10_noise_type_White,2,7.42,8.8,present right,10,False,0.3939,0.9472,lecture,White,present,right,"[{'confidence': 0.939, 'timestamps': [['right', 1.42, 1.65]], 'word_confidence': [['right', 0.939]], 'transcript': 'right '}]",sense,0.3233,right,0.9763
Elon_Musk_chunk_39_1497344768936258_count_0_noise_20_noise_type_White,2,7.42,8.8,present right,20,False,0.3939,0.9472,lecture,White,present,right,"[{'confidence': 0.966, 'timestamps': [['right', 1.4, 1.62]], 'word_confidence': [['right', 0.966]], 'transcript': 'right '}]",right,0.9734
Elon_Musk_chunk_39_1497344768936258_count_0_noise_21_noise_type_White,2,7.42,8.8,present right,21,False,0.3939,0.9472,lecture,White,present,right,"[{'confidence': 0.955, 'timestamps': [['right', 1.4, 1.62]], 'word_confidence': [['right', 0.955]], 'transcript': 'right '}]",right,0.9819
Shakespeare_chunk_99_1497344768936258_count_0_noise_-1_noise_type_White,2,13.35,14.58,supposing diction,-1,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.568, 'timestamps': [['supposing', 0.24, 0.94], ['diction', 0.94, 1.45]], 'word_confidence': [['supposing', 0.386], ['diction', 0.819]], 'transcript': 'supposing diction '}]",supposing,0.5066,diction,0.9879
Shakespeare_chunk_99_1497344768936258_count_0_noise_0_noise_type_White,2,13.35,14.58,supposing diction,0,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.57, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.45]], 'word_confidence': [['suppressing', 0.407], ['diction', 0.794]], 'transcript': 'suppressing diction '}]",suppressing,0.5985,diction,0.9796
Shakespeare_chunk_99_1497344768936258_count_0_noise_10_noise_type_White,2,13.35,14.58,supposing diction,10,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.481, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.41]], 'word_confidence': [['suppressing', 0.519], ['diction', 0.423]], 'transcript': 'suppressing diction '}]",suppressing,0.8464,diction,0.7522
Shakespeare_chunk_99_1497344768936258_count_0_noise_20_noise_type_White,2,13.35,14.58,supposing diction,20,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.53, 'timestamps': [['suppressing', 0.24, 0.95], ['fiction', 0.95, 1.41]], 'word_confidence': [['suppressing', 0.666], ['fiction', 0.319]], 'transcript': 'suppressing fiction '}]",suppressing,0.9428,fiction,0.5603
Shakespeare_chunk_99_1497344768936258_count_0_noise_15_noise_type_White,2,13.35,14.58,supposing diction,15,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.472, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.41]], 'word_confidence': [['suppressing', 0.594], ['diction', 0.291]], 'transcript': 'suppressing diction '}]",suppressing,0.9255,diction,0.4687
Shakespeare_chunk_99_1497344768936258_count_0_noise_12_noise_type_White,2,13.35,14.58,supposing diction,12,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.485, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.41]], 'word_confidence': [['suppressing', 0.544], ['diction', 0.396]], 'transcript': 'suppressing diction '}]",suppressing,0.8874,diction,0.6518
Shakespeare_chunk_99_1497344768936258_count_0_noise_14_noise_type_White,2,13.35,14.58,supposing diction,14,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.454, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.41]], 'word_confidence': [['suppressing', 0.567], ['diction', 0.285]], 'transcript': 'suppressing diction '}]",suppressing,0.9152,fiction,0.5741
Shakespeare_chunk_99_1497344768936258_count_0_noise_13_noise_type_White,2,13.35,14.58,supposing diction,13,False,0.3701,0.983,lecture,White,supposing,diction,"[{'confidence': 0.494, 'timestamps': [['suppressing', 0.24, 0.94], ['diction', 0.94, 1.41]], 'word_confidence': [['suppressing', 0.557], ['diction', 0.402]], 'transcript': 'suppressing diction '}]",suppressing,0.9025,diction,0.5978
Shakespeare_chunk_99_1497344768936258_count_1_noise_-1_noise_type_White,2,20.44,21.49,western poets,-1,False,0.3267,0.9476,lecture,White,western,poets,"[{'confidence': 0.612, 'timestamps': [['Weston', 0.24, 0.75], ['poets', 0.75, 1.27]], 'word_confidence': [['Weston', 0.598], ['poets', 0.626]], 'transcript': 'Weston poets '}]",Weston,0.7099,poets,0.9252
Shakespeare_chunk_99_1497344768936258_count_1_noise_0_noise_type_White,2,20.44,21.49,western poets,0,False,0.3267,0.9476,lecture,White,western,poets,"[{'confidence': 0.638, 'timestamps': [['Weston', 0.21, 0.75], ['poets', 0.75, 1.27]], 'word_confidence': [['Weston', 0.626], ['poets', 0.651]], 'transcript': 'Weston poets '}]",Weston,0.7021,poets,0.9336
Shakespeare_chunk_99_1497344768936258_count_1_noise_10_noise_type_White,2,20.44,21.49,western poets,10,False,0.3267,0.9476,lecture,White,western,poets,"[{'confidence': 0.569, 'timestamps': [['Weston', 0.25, 0.75], ['poets', 0.75, 1.27]], 'word_confidence': [['Weston', 0.533], ['poets', 0.604]], 'transcript': 'Weston poets '}]",Weston,0.6036,poets,0.9128
