google_Documentary_chunk_32_1497034203599011_count_0_noise_-1_noise_type_White,2,2.6,3.08,rather enemy,-1,True,0.8775,0.344,lecture,White,rather,enemy,"[{'transcript': 'driving in a ', 'word_confidence': [['driving', 0.507], ['in', 0.511], ['a', 0.271]], 'confidence': 0.472, 'timestamps': [['driving', 0.22, 0.56], ['in', 0.56, 0.62], ['a', 0.62, 0.69]]}]",driving,0.8589,in,0.7339,a,0.5253
Nikola_Tesla_chunk_65_1497034203599011_count_0_noise_-1_noise_type_White,2,10.1,11.72,nineteen thank,-1,True,0.8936,0.4475,lecture,White,nineteen,thank,"[{'transcript': 'Rachel ', 'word_confidence': [['Rachel', 0.483]], 'confidence': 0.483, 'timestamps': [['Rachel', 0.24, 0.86]]}]",Rachel,0.905
American_Civil_War_chunk_84_1497034203599011_count_0_noise_-1_noise_type_White,2,23.79,24.3,because German,-1,True,0.9494,0.4347,lecture,White,because,German,"[{'transcript': 'the sermon ', 'word_confidence': [['the', 0.226], ['sermon', 0.547]], 'confidence': 0.485, 'timestamps': [['the', 0.28, 0.37], ['sermon', 0.37, 0.75]]}]",the,0.8141,sermon,0.9406
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_-1_noise_type_White,2,8.69,9.66,counterpoint mints,-1,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mince ', 'word_confidence': [['counterpoint', 0.986], ['mince', 0.087]], 'confidence': 0.649, 'timestamps': [['counterpoint', 0.28, 0.83], ['mince', 0.83, 1.16]]}]",counterpoint,0.9969,mints,0.3313
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_0_noise_type_White,2,8.69,9.66,counterpoint mints,0,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mince ', 'word_confidence': [['counterpoint', 1.0], ['mince', 0.083]], 'confidence': 0.656, 'timestamps': [['counterpoint', 0.28, 0.83], ['mince', 0.83, 1.16]]}]",counterpoint,0.9991,mints,0.3694
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_10_noise_type_White,2,8.69,9.66,counterpoint mints,10,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mints ', 'word_confidence': [['counterpoint', 1.0], ['mints', 0.235]], 'confidence': 0.719, 'timestamps': [['counterpoint', 0.28, 0.83], ['mints', 0.83, 1.15]]}]",counterpoint,0.9996,mints,0.4052
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_20_noise_type_White,2,8.69,9.66,counterpoint mints,20,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mints ', 'word_confidence': [['counterpoint', 0.997], ['mints', 0.208]], 'confidence': 0.713, 'timestamps': [['counterpoint', 0.26, 0.83], ['mints', 0.83, 1.15]]}]",counterpoint,0.9982,mints,0.3475
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_22_noise_type_White,2,8.69,9.66,counterpoint mints,22,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mints ', 'word_confidence': [['counterpoint', 0.994], ['mints', 0.182]], 'confidence': 0.702, 'timestamps': [['counterpoint', 0.26, 0.83], ['mints', 0.83, 1.15]]}]",counterpoint,0.9983,mints,0.2883
Google_IO_2017_chunk_82_1497034203599011_count_0_noise_23_noise_type_White,2,8.69,9.66,counterpoint mints,23,True,0.9906,0.4887,lecture,White,counterpoint,mints,"[{'transcript': 'counterpoint mints ', 'word_confidence': [['counterpoint', 0.994], ['mints', 0.162]], 'confidence': 0.695, 'timestamps': [['counterpoint', 0.26, 0.83], ['mints', 0.83, 1.15]]}]",counterpoint,0.9993,mints,0.2491
Elon_Musk_chunk_96_1497034203599011_count_0_noise_-1_noise_type_White,2,11.42,12.3,lumping Tesla,-1,False,0.4559,0.7888,lecture,White,lumping,Tesla,"[{'transcript': 'not the test ', 'word_confidence': [['not', 0.297], ['the', 0.325], ['test', 0.422]], 'confidence': 0.369, 'timestamps': [['not', 0.28, 0.51], ['the', 0.51, 0.62], ['test', 0.62, 1.02]]}]",not,0.6005,the,0.5053,test,0.4523
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_-1_noise_type_White,2,20.88,21.83,saved episodes,-1,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'my fave episodes ', 'word_confidence': [['my', 0.083], ['fave', 0.064], ['episodes', 0.297]], 'confidence': 0.213, 'timestamps': [['my', 0.21, 0.29], ['fave', 0.29, 0.56], ['episodes', 0.56, 1.16]]}]",I,0.5968,saved,0.3789,episodes,0.7882
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_0_noise_type_White,2,20.88,21.83,saved episodes,0,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'my fave episodes ', 'word_confidence': [['my', 0.107], ['fave', 0.099], ['episodes', 0.382]], 'confidence': 0.276, 'timestamps': [['my', 0.21, 0.29], ['fave', 0.29, 0.56], ['episodes', 0.56, 1.14]]}]",I,0.4924,fave,0.4613,episodes,0.8631
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_10_noise_type_White,2,20.88,21.83,saved episodes,10,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'I save episodes ', 'word_confidence': [['I', 0.543], ['save', 0.325], ['episodes', 0.165]], 'confidence': 0.235, 'timestamps': [['I', 0.23, 0.28], ['save', 0.28, 0.56], ['episodes', 0.56, 1.14]]}]",I,0.7815,save,0.4553,episodes,0.6893
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_20_noise_type_White,2,20.88,21.83,saved episodes,20,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'fave episodes ', 'word_confidence': [['fave', 0.102], ['episodes', 0.483]], 'confidence': 0.37, 'timestamps': [['fave', 0.32, 0.56], ['episodes', 0.56, 1.13]]}]",fave,0.5144,episodes,0.8868
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_22_noise_type_White,2,20.88,21.83,saved episodes,22,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'fave episodes ', 'word_confidence': [['fave', 0.06], ['episodes', 0.249]], 'confidence': 0.193, 'timestamps': [['fave', 0.32, 0.56], ['episodes', 0.56, 1.13]]}]",fave,0.5443,episodes,0.8297
Google_IO_2017_chunk_100_1497034203599011_count_0_noise_24_noise_type_White,2,20.88,21.83,saved episodes,24,False,0.4611,0.9012,lecture,White,saved,episodes,"[{'transcript': 'fave episodes ', 'word_confidence': [['fave', 0.07], ['episodes', 0.238]], 'confidence': 0.178, 'timestamps': [['fave', 0.24, 0.56], ['episodes', 0.56, 1.13]]}]",fave,0.5778,episodes,0.8339
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_-1_noise_type_White,2,8.22,8.89,stunned upset,-1,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': ""it's still an upset "", 'word_confidence': [[""it's"", 0.19], ['still', 0.358], ['an', 0.159], ['upset', 0.63]], 'confidence': 0.424, 'timestamps': [[""it's"", 0.22, 0.33], ['still', 0.33, 0.51], ['an', 0.51, 0.6], ['upset', 0.6, 0.9]]}]",it's,0.4033,still,0.5084,an,0.4615,upset,0.9303
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_0_noise_type_White,2,8.22,8.89,stunned upset,0,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': ""it's still an upset "", 'word_confidence': [[""it's"", 0.207], ['still', 0.421], ['an', 0.193], ['upset', 0.774]], 'confidence': 0.512, 'timestamps': [[""it's"", 0.22, 0.33], ['still', 0.33, 0.51], ['an', 0.51, 0.6], ['upset', 0.6, 0.9]]}]",it's,0.4512,still,0.5754,an,0.5262,upset,0.9686
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_10_noise_type_White,2,8.22,8.89,stunned upset,10,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': ""it's still an upset "", 'word_confidence': [[""it's"", 0.146], ['still', 0.363], ['an', 0.223], ['upset', 0.675]], 'confidence': 0.447, 'timestamps': [[""it's"", 0.22, 0.33], ['still', 0.33, 0.51], ['an', 0.51, 0.6], ['upset', 0.6, 0.9]]}]",it's,0.2876,stone,0.5062,upset,0.9724
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_15_noise_type_White,2,8.22,8.89,stunned upset,15,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': 'start ups ', 'word_confidence': [['start', 0.194], ['ups', 0.139]], 'confidence': 0.172, 'timestamps': [['start', 0.24, 0.6], ['ups', 0.6, 0.84]]}]",start,0.4305,ups,0.4139
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_12_noise_type_White,2,8.22,8.89,stunned upset,12,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': 'I stand up set ', 'word_confidence': [['I', 0.217], ['stand', 0.082], ['up', 0.796], ['set', 0.136]], 'confidence': 0.224, 'timestamps': [['I', 0.24, 0.28], ['stand', 0.28, 0.61], ['up', 0.61, 0.72], ['set', 0.72, 0.9]]}]",I,0.4853,stand,0.4425,up,0.7456,set,0.4068
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_11_noise_type_White,2,8.22,8.89,stunned upset,11,False,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': 'this stone upset ', 'word_confidence': [['this', 0.128], ['stone', 0.247], ['upset', 0.656]], 'confidence': 0.408, 'timestamps': [['this', 0.22, 0.33], ['stone', 0.33, 0.6], ['upset', 0.6, 0.9]]}]",stone,0.5607,upset,0.9743
